counts,x,y
7,17,12
7,-17,12
10,16,26
6,-18,24
3,16,38
3,-18,37
5,17,49
8,-17,51
6,15,65
8,-19,62
8,17,75
2,-17,76
6,18,87
7,-17,89
7,12,58
3,12,94
6,21,57
7,23,92
11,14,49
8,26,82
3,5,43
6,26,72
11,-4,40
11,23,61
5,-15,48
5,19,48
0,-14,34
6,21,36
6,-14,22
4,21,23
3,-15,11
5,19,9
4,-13,-4
3,21,-1
8,-15,-14
5,20,-15
1,-15,-26
6,19,-28
12,13,-33
5,13,2
2,22,-34
12,24,1
7,26,-24
9,18,10
8,28,-13
10,9,17
5,26,-2
6,0,20
6,22,12
4,-12,12
9,22,24
9,-12,25
8,23,36
2,-11,38
3,20,53
1,-14,49
5,23,62
6,-12,64
8,20,78
11,-14,75
8,21,90
7,-14,88
3,16,59
9,16,94
6,24,58
5,27,93
4,18,50
1,29,83
5,9,44
8,30,73
4,0,40
8,27,62
6,-11,49
12,23,49
5,-10,34
9,24,37
10,-12,24
9,22,22
9,-9,8
9,25,11
8,-10,-3
14,25,-1
10,-11,-13
5,23,-15
8,-12,-26
7,23,-28
9,17,-32
8,17,2
4,29,-31
6,26,3
7,31,-21
12,20,11
1,32,-10
8,11,17
4,29,0
4,0,20
5,25,12
4,-9,12
5,26,25
9,-9,25
4,24,39
13,-10,37
10,26,50
5,-9,51
4,26,62
8,-8,64
4,24,78
4,-11,75
9,26,88
8,-8,91
3,20,62
9,20,97
5,31,62
7,30,98
5,25,54
5,33,88
7,17,47
6,35,78
6,7,43
13,33,67
5,-5,52
3,29,52
4,-4,37
12,31,40
7,-6,27
3,28,24
9,-3,10
4,31,14
6,-6,0
7,28,-2
4,-3,-15
6,31,-12
8,-6,-25
8,29,-28
14,-3,-42
6,32,-38
3,-7,-51
6,27,-57
9,26,-46
7,26,-11
7,35,-47
10,37,-11
7,39,-37
6,31,-3
6,40,-27
9,23,3
8,38,-16
9,12,7
