counts,x,y
2,17,12
8,-17,12
9,17,24
5,-17,24
12,17,36
6,-17,36
6,18,48
8,-17,49
7,16,63
15,-18,60
7,18,73
7,-17,74
14,16,88
3,-19,86
8,17,99
9,-17,100
10,16,114
8,-19,111
9,12,69
12,12,104
28,20,68
11,23,103
6,14,60
63,26,93
75,5,54
21,26,83
18,-5,51
51,23,72
24,-15,59
73,19,59
10,-14,45
5,20,47
9,-16,35
6,18,32
7,-14,3
7,20,5
11,-16,-6
9,18,-8
4,-13,-22
5,21,-19
7,-14,-34
6,21,-32
4,-13,-47
5,21,-45
8,15,-51
3,15,-16
7,27,-50
9,24,-14
8,30,-39
8,17,-6
2,30,-29
6,8,-1
7,27,-18
17,-2,1
7,23,-6
6,-12,-6
9,24,5
11,-11,6
10,24,17
5,-11,18
6,24,29
7,-10,31
9,22,46
9,-13,42
13,22,57
6,-12,56
8,24,68
11,-11,70
8,22,83
4,-13,81
7,23,94
4,-11,95
17,18,64
6,17,99
8,29,65
2,26,100
11,23,56
10,30,91
8,16,49
8,32,81
7,6,45
7,31,71
5,-7,54
7,27,54
12,-6,40
8,28,42
4,-7,29
8,27,28
11,-8,17
4,26,15
10,-8,4
10,27,3
5,-7,-10
5,28,-8
5,-8,-20
8,27,-22
13,-6,-35
8,28,-33
8,-8,-46
5,27,-47
6,-6,-61
8,29,-58
5,-8,-71
6,27,-73
5,22,-64
7,22,-29
4,34,-63
4,31,-28
7,37,-53
5,24,-20
6,37,-42
8,15,-14
6,33,-32
8,5,-11
6,30,-19
9,-5,-19
7,29,-5
10,-6,-7
6,30,4
12,-4,6
6,28,20
8,-6,17
5,28,32
8,-6,30
11,30,42
4,-4,45
10,28,58
9,-7,55
9,28,70
6,-7,68
4,29,81
8,-5,82
11,23,52
7,23,88
8,34,53
6,32,88
5,28,44
5,36,79
6,20,37
7,37,68
5,10,33
6,35,58
8,-2,42
10,32,42
6,-2,29
4,33,30
4,-1,16
3,33,18
5,-3,5
5,31,3
8,-3,-8
11,32,-9
3,-1,-22
3,33,-20
10,-3,-32
5,32,-34
4,-1,-47
8,33,-45
9,-3,-58
11,32,-59
7,-1,-72
5,34,-70
7,-3,-83
9,32,-84
