counts,x,y
2,17,12
10,-17,12
6,17,25
3,-18,24
10,18,36
6,-16,39
6,16,52
6,-18,49
7,18,62
5,-16,64
4,16,78
2,-19,75
8,18,88
9,-16,90
9,16,104
6,-19,101
7,12,60
9,12,95
7,24,61
6,21,96
8,25,58
12,32,92
4,24,54
5,41,85
9,22,51
8,48,75
6,9,60
6,44,60
3,10,46
7,45,48
6,10,34
6,45,35
9,8,23
5,43,20
11,10,7
11,46,10
7,10,-4
10,46,-3
8,9,-15
5,44,-17
5,10,-30
7,46,-28
13,39,-21
6,39,13
7,50,-20
10,48,14
8,60,-15
6,48,17
5,68,-7
7,47,21
17,73,3
4,45,24
11,70,16
10,34,16
10,70,28
78,35,29
13,68,42
10,33,40
5,70,53
10,35,54
7,68,67
8,33,65
3,68,80
8,33,78
4,70,90
10,35,93
5,70,104
6,34,104
4,68,118
7,33,116
8,64,74
7,64,109
9,74,74
4,73,110
3,75,71
10,84,105
8,74,67
6,92,98
5,73,64
5,99,88
2,60,73
11,95,73
8,61,59
4,96,61
15,59,49
12,94,46
4,62,32
31,97,36
28,59,22
8,94,20
5,61,7
3,97,9
6,59,-3
4,95,-5
7,62,-19
10,97,-16
6,59,-29
5,95,-32
6,89,-35
8,89,0
7,99,-36
11,100,-1
5,109,-32
8,101,2
6,118,-25
6,100,5
8,125,-15
8,99,9
5,121,0
2,86,0
9,122,11
7,86,12
7,120,26
3,85,24
16,122,37
5,86,38
13,120,51
9,85,49
8,122,62
3,86,63
8,120,77
3,85,74
4,122,87
3,86,89
4,120,102
9,84,100
12,122,113
3,86,114
8,115,71
10,115,106
4,126,72
4,124,107
2,126,68
11,134,103
7,126,65
7,143,95
5,124,61
3,150,86
4,111,70
8,146,70
8,110,59
8,145,57
3,112,43
9,147,46
6,111,32
9,147,33
10,110,21
4,146,19
4,112,6
5,148,8
2,112,-5
6,148,-4
2,112,-17
13,148,-16
10,111,-28
2,146,-30
0,113,-43
9,148,-41
