counts,x,y
9,17,12
8,-17,12
6,17,24
10,-17,24
8,18,36
5,-16,37
7,16,52
6,-19,48
14,19,61
16,-15,64
10,16,78
5,-19,75
4,17,89
13,-18,89
7,17,101
5,-17,102
23,12,71
11,12,107
8,23,72
11,21,108
44,24,69
9,32,103
15,23,65
63,41,96
63,21,62
12,47,86
51,8,71
50,44,71
8,9,57
25,45,59
9,7,47
9,43,44
12,9,31
12,45,33
6,8,18
8,44,18
12,9,4
8,45,6
10,7,-5
3,43,-8
6,10,-21
9,45,-19
6,8,-31
7,43,-33
6,37,-38
6,37,-2
13,46,-39
8,48,-3
3,57,-34
4,49,0
2,66,-27
7,48,3
4,73,-17
9,46,6
7,69,-2
7,34,-2
4,70,9
5,35,11
10,68,25
4,32,22
5,71,34
7,35,38
19,68,51
5,32,48
5,71,60
10,35,63
8,67,77
10,32,73
5,71,86
7,35,90
5,68,103
8,32,100
6,65,59
5,65,95
4,76,60
3,74,95
3,77,57
9,85,91
6,76,53
7,94,84
4,75,50
4,100,74
6,61,59
8,97,59
15,60,48
7,95,45
9,62,32
1,98,35
3,60,22
4,95,19
3,63,5
3,98,8
6,59,-3
6,94,-7
7,62,-20
5,98,-17
8,59,-29
8,94,-33
9,59,-42
8,95,-45
10,89,-48
8,89,-13
5,98,-49
7,100,-14
5,109,-45
10,101,-10
13,118,-38
11,101,-7
7,125,-28
5,99,-3
3,121,-12
4,86,-12
1,122,-1
6,87,0
10,120,14
5,84,11
6,123,23
10,88,27
10,120,40
7,84,37
17,123,49
6,88,53
4,120,66
5,85,63
2,123,75
1,88,79
7,120,92
4,85,89
10,117,48
12,117,83
2,128,48
6,126,84
7,129,45
6,137,80
7,128,41
10,146,72
9,126,38
6,152,62
5,113,47
5,149,47
3,112,36
10,148,33
7,112,23
11,147,21
3,114,8
8,149,10
13,112,-1
5,147,-3
4,111,-13
3,147,-16
3,114,-30
5,149,-26
6,111,-39
11,146,-43
5,111,-52
4,146,-54
1,113,-68
2,149,-65
