counts,x,y
9,17,12
7,-17,12
6,17,24
6,-18,24
12,18,35
5,-16,38
6,16,52
8,-19,48
15,19,61
3,-16,64
6,16,77
7,-18,74
12,18,87
5,-16,90
2,16,103
10,-19,100
7,19,113
5,-16,116
4,10,71
3,10,107
8,21,72
6,19,107
9,22,69
10,30,103
7,21,65
5,39,96
10,19,62
7,45,86
2,6,70
11,42,70
8,5,60
3,40,57
8,7,44
5,43,46
8,5,34
5,40,31
8,7,19
9,42,21
12,7,7
3,43,8
0,5,-3
5,41,-6
8,8,-19
10,43,-16
5,5,-29
3,40,-32
5,37,-23
17,37,12
7,48,-22
5,46,12
3,58,-17
8,47,16
4,66,-9
6,46,19
8,72,0
6,44,23
2,68,14
10,33,14
6,69,26
10,34,28
13,67,41
13,32,39
13,70,51
5,34,54
3,68,67
7,32,64
9,70,77
8,34,80
7,68,92
5,32,90
6,70,102
10,35,105
12,68,118
5,32,115
3,62,86
8,62,121
3,73,86
6,72,122
5,74,83
9,82,118
5,74,79
5,91,111
1,72,76
10,98,101
10,59,85
9,94,85
3,58,73
9,93,72
16,60,58
10,95,61
3,57,49
7,93,46
43,57,36
47,93,34
10,60,20
20,95,23
10,56,11
10,92,7
5,59,-5
9,95,-2
7,57,-14
4,92,-17
7,59,-30
5,95,-27
11,88,-34
4,88,0
5,100,-33
5,98,1
7,110,-28
19,98,5
8,118,-20
5,97,8
4,123,-9
8,95,11
8,120,3
5,84,3
5,121,14
6,85,16
13,118,30
8,83,27
3,122,39
4,86,44
4,118,57
3,83,53
8,122,66
9,86,70
6,119,83
7,83,80
7,122,92
7,87,96
8,119,109
4,83,105
1,116,64
7,116,100
6,124,63
6,127,98
6,124,59
6,137,93
6,123,56
8,145,84
8,121,53
4,150,74
6,111,61
3,146,61
5,112,48
5,147,50
9,110,38
4,145,35
7,109,25
5,145,22
7,112,9
13,147,12
4,109,0
7,144,-4
5,112,-17
7,147,-13
2,111,-28
2,146,-27
6,110,-39
5,146,-40
7,112,-54
4,147,-51
