counts,x,y
8,17,12
4,-17,12
3,17,24
7,-17,24
9,16,37
5,-18,36
4,19,47
12,-16,50
11,16,63
9,-18,60
3,19,72
10,-16,75
7,16,88
13,-18,86
7,19,98
4,-16,101
6,16,114
6,-18,111
13,13,69
4,13,104
6,23,69
11,22,105
2,24,66
8,33,100
9,23,62
6,41,93
10,21,59
3,48,83
5,9,68
11,44,68
7,9,55
11,45,56
8,7,44
6,43,41
7,10,28
12,45,31
8,7,19
10,42,15
7,7,5
10,43,3
14,6,-6
6,42,-9
5,9,-22
9,44,-19
7,6,-32
5,41,-36
3,38,-26
6,38,9
7,47,-27
18,49,7
7,57,-23
7,50,11
10,67,-16
8,50,14
11,73,-6
11,48,18
6,70,9
8,34,9
6,71,20
17,36,23
20,69,35
3,34,34
7,72,45
11,37,49
7,70,61
8,34,59
7,72,71
12,36,74
3,70,86
4,34,84
8,72,96
6,37,99
9,70,112
4,34,109
2,70,124
2,34,122
4,66,80
5,66,116
9,74,79
3,77,115
6,75,76
5,87,109
13,74,72
11,95,101
3,72,69
11,100,91
5,61,78
7,97,78
2,60,67
10,95,64
7,59,54
9,95,51
16,61,38
4,97,41
29,59,28
69,94,25
16,61,13
18,96,15
15,59,1
7,94,0
6,58,-10
10,94,-13
7,58,-23
6,94,-25
5,60,-38
13,96,-36
9,89,-43
5,89,-7
8,97,-44
6,100,-9
3,108,-40
6,101,-5
3,117,-33
8,101,-2
7,124,-23
11,99,1
10,121,-7
13,85,-7
5,122,3
8,87,5
6,120,18
11,85,16
11,122,28
10,87,31
5,120,43
2,85,41
7,123,52
11,88,56
6,120,68
5,85,66
4,123,78
6,88,81
4,121,94
10,85,91
9,116,62
6,116,98
7,126,62
9,126,98
6,127,59
7,136,93
5,126,55
10,145,86
7,125,52
5,151,76
7,112,61
7,148,61
12,114,47
7,149,49
2,111,38
7,146,34
6,111,24
4,146,22
7,113,9
6,148,11
11,111,0
6,146,-3
7,112,-15
5,148,-13
2,111,-26
9,146,-28
5,113,-41
3,148,-39
6,110,-51
5,146,-54
